Volts,Micro Amps
-0.240,-70
-0.230,-69
-0.220,-68
-0.210,-67
-0.200,-66
-0.190,-65
-0.180,-64
-0.170,-63
-0.160,-62
-0.150,-61
-0.140,-60
-0.130,-59
-0.120,-58
-0.110,-57
-0.100,-56
-0.090,-55
-0.080,-54
-0.070,-53
-0.060,-52
-0.050,-51
-0.040,-50
-0.030,-49
-0.020,-41
-0.010,-27
0.000,-11
0.010,15
0.020,33
0.030,59
0.040,84
0.050,110
0.060,154
0.070,176
0.080,202
0.090,229
0.100,249
0.110,274
0.120,269
0.130,263
0.140,251
0.150,234
0.160,224
0.170,199
0.180,184
0.190,172
0.200,159
0.210,149
0.220,142
0.230,131
0.240,126
0.250,120
0.260,116
0.270,112
0.280,111
0.290,106
0.300,106
0.290,91
0.280,87
0.270,85
0.260,82
0.250,78
0.240,76
0.230,72
0.220,70
0.210,66
0.200,61
0.190,55
0.180,50
0.170,43
0.160,33
0.150,16
0.140,4
0.130,-12
0.120,-39
0.110,-64
0.100,-102
0.090,-124
0.080,-151
0.070,-178
0.060,-204
0.050,-239
0.040,-249
0.030,-263
0.020,-269
0.010,-267
0.000,-258
-0.010,-251
-0.020,-232
-0.030,-215
-0.040,-195
-0.050,-182
-0.060,-171
-0.070,-157
-0.080,-148
-0.090,-141
-0.100,-130
-0.110,-128
-0.120,-121
-0.130,-117
-0.140,-114
-0.150,-108
-0.160,-106
-0.170,-103
-0.180,-102
-0.190,-102
-0.200,-98
-0.210,-99
-0.220,-102
-0.230,-99
-0.240,-97
-0.250,-100
